asin,product_title,product_price,product_original_price,discount,product_star_rating,product_num_ratings,sales_volume,is_prime,is_best_seller,is_amazon_choice,currency,product_url
B0GLPFH3N8,"Hybrid Active Noise Cancelling Bluetooth Headphones, Over Ear Wireless Headphones with 120H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups for Home Office Travel",29.99,299.99,90.00300010000333,4.8,143,,True,False,False,USD,https://www.amazon.com/dp/B0GLPFH3N8
B0H1K791VV,"Lenovo ThinkPad Dual Mode Wireless ANC Foldable Headset 8550 (Aura Edition) – Sound by Bose, AI Noise Cancelling Mic, Microsoft Teams Certified, Bluetooth 5.3",181.99,,0.0,4.7,8,,True,False,False,USD,https://www.amazon.com/dp/B0H1K791VV
B0FQFB8FMG,"Apple AirPods Pro 3 Wireless Earbuds, Active Noise Cancellation, Live Translation, Heart Rate Sensing, Hearing Aid Feature, Bluetooth Headphones, Spatial Audio, High-Fidelity Sound, USB-C Charging",179.99,249.0,27.714859437751,4.5,10536,10K+ bought in past month,True,False,False,USD,https://www.amazon.com/dp/B0FQFB8FMG
B0BS1RT9S2,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Blue",38.0,69.99,45.706529504214885,4.5,32856,7K+ bought in past month,True,False,False,USD,https://www.amazon.com/dp/B0BS1RT9S2
B0BSGQL41X,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Cappuccino",38.0,69.99,45.706529504214885,4.5,32856,5K+ bought in past month,True,False,False,USD,https://www.amazon.com/dp/B0BSGQL41X
B0GVDDW9PQ,"Motorola Moto Buds 2 in-Ear Headphones, 11mm Dynamic Drivers, Active Noise Cancellation, Bluetooth 6.0, Low-Latency HD Audio (Pantone Violet Ice)",49.99,,0.0,,0,New on Amazon in past month,False,False,False,USD,https://www.amazon.com/dp/B0GVDDW9PQ
B0C3HCD34R,"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth, 40H Long ANC Playtime, Hi-Res Audio, Big Bass, Customize via an App, Transparency Mode (Black) TCO Certified",44.99,69.99,35.71938848406915,4.6,66013,10K+ bought in past month,True,False,False,USD,https://www.amazon.com/dp/B0C3HCD34R
B09LYF2ST7,"BERIBES Bluetooth Headphones Over Ear, 65H Playtime and 6 EQ Music Modes Wireless Headphones with Microphone, HiFi Stereo Foldable Lightweight Headset, Deep Bass for Home Office Cellphone PC Ect.",19.96,28.99,31.148671955846837,4.5,55354,10K+ bought in past month,True,False,False,USD,https://www.amazon.com/dp/B09LYF2ST7
B0CTBCDD6D,"JBL Tune 720BT - Wireless Over-Ear Headphones with JBL Pure Bass Sound, Bluetooth 5.3, Up to 76H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design (Black)",49.95,89.95,44.469149527515285,4.6,13993,10K+ bought in past month,True,False,False,USD,https://www.amazon.com/dp/B0CTBCDD6D
B0DGHMNQ5Z,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",99.0,129.0,23.25581395348837,4.6,30684,10K+ bought in past month,True,False,False,USD,https://www.amazon.com/dp/B0DGHMNQ5Z
B0GLPPV2LY,"Bluetooth Headphones with Active Noise Cancelling (ANC), Wireless Over Ear Bluetooth Headsets with 35H Playtime, HiFi Stereo Foldable Headphones with Foam Ear Cups for Sports, Travel, Black",19.99,199.99,90.00450022501124,4.9,102,,True,False,False,USD,https://www.amazon.com/dp/B0GLPPV2LY
B0GWML76W4,"HAOYUYAN Wireless Earbuds, Sports Bluetooth Headphones, LED Power Display Ear Buds with 80Hrs Playtime, Noise Canceling Headset, IPX7 Waterproof Earphones for Workout/Running",24.98,299.99,91.67305576852561,4.5,1110,5K+ bought in past month,True,False,False,USD,https://www.amazon.com/dp/B0GWML76W4
