asin,error
B0D7FVQ1ZB,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B0D7FVQ1ZB&country=US
B0DHH5WJSF,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B0DHH5WJSF&country=US
B0F8NYRVYR,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B0F8NYRVYR&country=US
B0DJ8RRKVX,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B0DJ8RRKVX&country=US
B0CRT6HQ82,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B0CRT6HQ82&country=US
B09FLNSYDZ,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B09FLNSYDZ&country=US
B0CSXV3GK4,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B0CSXV3GK4&country=US
B0CJJHSFFP,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B0CJJHSFFP&country=US
B09WMJCQRM,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B09WMJCQRM&country=US
B018APC4LE,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B018APC4LE&country=US
B0G31P119K,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B0G31P119K&country=US
B0734S1YBS,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B0734S1YBS&country=US
B0DLKB5V35,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B0DLKB5V35&country=US
B09M7XGSNN,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B09M7XGSNN&country=US
B0CT6D6Q27,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B0CT6D6Q27&country=US
B09TRW57WB,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B09TRW57WB&country=US
B07H7X7J75,429 Client Error: Too Many Requests for url: https://real-time-amazon-data.p.rapidapi.com/product-details?asin=B07H7X7J75&country=US
