asin,error
B0GLPFH3N8,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0GLPFH3N8&history=1
B0H1K791VV,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0H1K791VV&history=1
B0FQFB8FMG,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0FQFB8FMG&history=1
B0BS1RT9S2,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0BS1RT9S2&history=1
B0BSGQL41X,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0BSGQL41X&history=1
B0GVDDW9PQ,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0GVDDW9PQ&history=1
B0C3HCD34R,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0C3HCD34R&history=1
B09LYF2ST7,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B09LYF2ST7&history=1
B0CTBCDD6D,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0CTBCDD6D&history=1
B0DGHMNQ5Z,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0DGHMNQ5Z&history=1
B0GLPPV2LY,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0GLPPV2LY&history=1
B0GWML76W4,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0GWML76W4&history=1
B0CQXMXJC5,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0CQXMXJC5&history=1
B0GYWS3V9J,400 Client Error: Bad Request for url: https://api.keepa.com/product?key=099c61a2-fd32-4f8e-ac48-6aec0be0cb24&domain=1&asin=B0GYWS3V9J&history=1
