asin,date,price,product_title,product_price,product_original_price,currency,country,product_byline,product_star_rating,product_num_ratings,product_num_offers,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,rating_distribution,category,has_aplus,has_brandstory,landing_asin,parent_asin,deal_badge,sales_volume_num,pct_1stars,pct_2stars,pct_3stars,pct_4stars,pct_5stars,discount,discount_pct,popularity_score,sales_per_price,premium_badge_count,rating_balance,category_name,cluster_original,cluster,segmento_kmeans
B08WM3LMJF,2026-03-01 08:24:00,39.95,"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Android and iOs compatible (Black)",39.95,49.95,USD,US,Visit the JBL Store,4.5,89869,10,False,True,False,7K+ bought in past month,"{'1': 4, '2': 2, '3': 5, '4': 12, '5': 77}","{'id': 'electronics', 'name': 'Electronics'}",True,True,B08WM3LMJF,B095J3HLGN,False,7000.0,0.04,0.02,0.05,0.12,0.77,10.0,20.02002002,404410.5,170.9401709,3,0.73,Electronics,0,1,Cluster 1
B092CP8ZH4,2026-03-01 08:24:00,39.95,"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Android and iOs compatible (Rose)",39.95,49.95,USD,US,Visit the JBL Store,4.5,89869,5,False,False,False,5K+ bought in past month,"{'1': 4, '2': 2, '3': 5, '4': 12, '5': 77}","{'id': 'automotive', 'name': 'Automotive Parts & Accessories'}",True,True,B092CP8ZH4,B095J3HLGN,False,5000.0,0.04,0.02,0.05,0.12,0.77,10.0,20.02002002,404410.5,122.1001221,2,0.73,Automotive Parts & Accessories,0,1,Cluster 1
B09BF64J55,2026-03-14 07:58:00,24.56,"KVIDIO Bluetooth Headphones Over Ear, 65 Hours Playtime Wireless Headphones with Microphone, Foldable Lightweight Headset with Deep Bass, HiFi Stereo Sound Low Latency for Travel Work Cellphone",18.97,24.56,USD,US,Visit the KVIDIO Store,4.5,32277,3,True,True,False,10K+ bought in past month,"{'1': 3, '2': 2, '3': 6, '4': 15, '5': 74}","{'id': 'electronics', 'name': 'Electronics'}",True,True,B09BF64J55,B09LHJRPVL,True,10000.0,0.03,0.02,0.06,0.15,0.74,5.59,22.76058632,145246.5,500.7511267,4,0.71,Electronics,0,1,Cluster 1
B09LYF2ST7,2026-03-03 08:04:00,39.41,"BERIBES Bluetooth Headphones Over Ear, 65H Playtime and 6 EQ Music Modes Wireless Headphones with Microphone, HiFi Stereo Foldable Lightweight Headset, Deep Bass for Home Office Cellphone PC Ect.",19.97,28.99,USD,US,Visit the BERIBES Store,4.5,52207,4,True,True,False,10K+ bought in past month,"{'1': 3, '2': 2, '3': 6, '4': 15, '5': 74}","{'id': 'electronics', 'name': 'Electronics'}",True,True,B09LYF2ST7,B0FQPFYV5S,True,10000.0,0.03,0.02,0.06,0.15,0.74,9.02,31.1141773,234931.5,476.8717215,4,0.71,Electronics,0,1,Cluster 1
B0BQPNMXQV,2026-03-08 08:22:00,29.95,"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-Free Call with VoiceAware, Up to 32 Hours of Battery Life (Black)",29.95,49.95,USD,US,Visit the JBL Store,4.3,35729,4,True,True,False,10K+ bought in past month,"{'1': 7, '2': 4, '3': 8, '4': 13, '5': 68}","{'id': 'electronics', 'name': 'Electronics'}",True,True,B0BQPNMXQV,B0BW4MQJ7P,False,10000.0,0.07,0.04,0.08,0.13,0.68,20.0,40.04004004,153634.7,323.1017771,4,0.61,Electronics,0,1,Cluster 1
B0BS1QCFHX,2026-03-13 17:56:00,98.0,"Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",66.0,179.99,USD,US,Visit the Sony Store,4.4,14652,36,True,False,False,7K+ bought in past month,"{'1': 6, '2': 3, '3': 6, '4': 13, '5': 72}","{'id': 'electronics', 'name': 'Electronics'}",True,True,B0BS1QCFHX,B0DJRY1KZT,False,7000.0,0.06,0.03,0.06,0.13,0.72,113.99,63.33129618,64468.8,104.4776119,3,0.66,Electronics,0,1,Cluster 1
B0BS1RT9S2,2026-03-09 09:34:00,48.0,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Blue",48.0,69.99,USD,US,Visit the Sony Store,4.5,30503,10,False,False,False,2K+ bought in past month,"{'1': 5, '2': 2, '3': 5, '4': 13, '5': 75}","{'id': 'electronics', 'name': 'Electronics'}",True,True,B0BS1RT9S2,B0BWK6B2T4,True,2000.0,0.05,0.02,0.05,0.13,0.75,21.99,31.41877411,137263.5,40.81632653,2,0.7,Electronics,0,1,Cluster 1
B0BTYCRJSS,2026-03-13 17:56:00,30.8,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",19.99,39.99,USD,US,Visit the Soundcore Store,4.4,98070,3,True,True,True,10K+ bought in past month,"{'1': 5, '2': 3, '3': 6, '4': 14, '5': 72}","{'id': 'electronics', 'name': 'Electronics'}",False,True,B0BTYCRJSS,B0CLNWQL4T,False,10000.0,0.05,0.03,0.06,0.14,0.72,20.0,50.01250313,431508.0,476.4173416,3,0.67,Electronics,0,1,Cluster 1
B0C3HCD34R,2026-02-15 10:28:00,44.99,"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth, 40H Long ANC Playtime, Hi-Res Audio, Big Bass, Customize via an App, Transparency Mode",39.99,69.99,USD,US,Visit the Soundcore Store,4.6,56500,4,True,False,True,10K+ bought in past month,"{'1': 3, '2': 2, '3': 4, '4': 13, '5': 78}","{'id': 'electronics', 'name': 'Electronics'}",True,False,B0C3HCD34R,B0D2HJWR42,True,10000.0,0.03,0.02,0.04,0.13,0.78,30.0,42.86326618,259900.0,243.9619419,2,0.75,Electronics,0,1,Cluster 1
B0C8PR4W22,2026-03-08 08:18:00,169.95,"Beats Studio Pro - Premium Wireless Over-Ear Headphones- Up to 40-Hour Battery Life, Active Noise Cancelling, USB-C Lossless Audio, Apple & Android Compatible - Black",169.95,349.99,USD,US,Visit the Beats Store,4.5,26233,10,False,False,False,10K+ bought in past month,"{'1': 5, '2': 2, '3': 5, '4': 9, '5': 79}","{'id': 'aps', 'name': 'All Departments'}",False,False,B0C8PR4W22,B0GL257S3D,True,10000.0,0.05,0.02,0.05,0.09,0.79,180.04,51.44146976,118048.5,58.49663644,0,0.74,All Departments,0,1,Cluster 1
